1;636437.5;5128455.5;20.84;0;189.938462
2;636432;5128454.5;20.94;0;358.697347
3;636436;5128453;21.1;0;124.075716
4;636440.5;5128453;20.75;0;333.941707
5;636457.68;5128432.71;10.98;0;28.14681
6;636441.79;5128419.6;14.14;0;165.301546
7;636428.5;5128450;21.16;0;580.353237
8;636437;5128450;23.6;0;566.825831
9;636433.5;5128446;20.53;0;571.437682
10;636436.5;5128444.5;21.15;0;329.04275
11;636449.44;5128452.37;4.21;0;0.922577833
12;636454.5;5128446;6.12;0;98.8920478
13;636438;5128442.5;21.05;0;582.541411
14;636430.78;5128443.93;8.73;0;35.5670955
15;636431;5128440;5.02;0;8.57382283
16;636442.5;5128438.5;25.73;0;1182.83511
17;636446.5;5128438;22.19;0;792.589682
18;636439;5128436;28.57;0;999.453395
19;636418.5;5128433.5;26.66;0;634.189773
20;636423;5128430.5;26.59;0;781.30009
21;636429;5128429;23.99;0;1101.98448
22;636447.5;5128427.5;19.33;0;504.664512
23;636455.5;5128427.5;18.98;0;390.65625
24;636442;5128427;21.06;0;652.412342
25;636440;5128425;22.13;0;585.017491
26;636431;5128424.5;20.26;0;616.874467
27;636419.76;5128439.88;13.83;0;17.4094397
28;636424;5128422;17.03;0;300.066701
29;636449.5;5128421.5;21.92;0;944.607856
30;636435;5128420.5;10.84;0;473.281497
31;636427.5;5128420;20.79;0;186.049375
32;636430.5;5128419.5;20.18;0;203.035446
